SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4604 Terraza Mar Marvelosa,San Diego,CA,92130,1299000,4,3.5,Carmel Valley,2908,5600,2001,40,447,26,Active,,,http://www.redfin.com/CA/San-Diego/4604-Terraza-Mar-Marvelosa-92130/home/6462881,SDMLS,180062419,N,Y,32.9143997,-117.2170787
MLS Listing,,Single Family Residential,5270 Sandhill Ter,San Diego,CA,92130,1375000,4,3.0,Carmel Valley,3114,7019,1998,76,442,,Active,,,http://www.redfin.com/CA/San-Diego/5270-Sandhill-Ter-92130/home/4477060,SDMLS,180055441,N,Y,32.9523677,-117.2051185
MLS Listing,,Condo/Co-op,3540 Caminito El Rincon #73,Carmel Valley,CA,92130,519000,2,2.0,Carmel Valley,944,,1993,88,550,310,Active,,,http://www.redfin.com/CA/San-Diego/3540-Caminito-El-Rincon-92130/unit-73/home/4511922,SDMLS,180053250,N,Y,32.9450202,-117.2378423
MLS Listing,,Condo/Co-op,3857 Pell Pl #117,San Diego,CA,92130,470000,1,1.0,Carmel Valley,748,,2005,110,628,251,Active,,,http://www.redfin.com/CA/San-Diego/3857-Pell-Pl-92130/unit-117/home/7543405,SDMLS,180048667,N,Y,32.9494518,-117.2320377
MLS Listing,,Condo/Co-op,12360 Carmel Country Rd #206,San Diego,CA,92130,430000,1,1.0,Carmel Valley,803,139712,2003,110,535,300,Active,,,http://www.redfin.com/CA/San-Diego/12360-Carmel-Country-Rd-92130/unit-206/home/146938305,SDMLS,180048539,N,Y,32.9479958,-117.2283404
MLS Listing,,Townhouse,5571 Corum Ct,,CA,92130,1275000,4,3.5,,2612,,2016,1,488,403,Active,,,http://www.redfin.com/CA/San-Diego/5571-Corum-Ct-92130/home/104469173,CRMLS,180046688,N,Y,32.929653,-117.197762
MLS Listing,,Condo/Co-op,5461 Vista Del Dios,San Diego,CA,92130,1595000,4,3.5,Rancho Santa Fe,3237,,1990,3,493,425,Active,,,http://www.redfin.com/CA/San-Diego/5461-Vista-Del-Dios-92130/home/4450279,SDMLS,180067598,N,Y,32.9761,-117.203501
MLS Listing,,Condo/Co-op,3554 CAMINITO EL RINCON #58,SAN DIEGO,CA,92130,529995,2,2.0,Carmel Valley,944,,1993,8,561,310,Active,,,http://www.redfin.com/CA/San-Diego/3554-Caminito-El-Rincon-92130/unit-58/home/4511905,SDMLS,180067004,N,Y,32.9450202,-117.2378423
MLS Listing,,Condo/Co-op,6012 Village Center Loop #36,San Diego,CA,92130,889880,3,2.5,Carmel Valley,1817,,2018,8,490,300,Active,December-18-2018 09:00 AM,December-18-2018 05:00 PM,http://www.redfin.com/CA/San-Diego/6012-Village-Center-Loop-Rd-92130/unit-36/home/148442880,SDMLS,180066994,N,Y,32.9623016,-117.1863152
MLS Listing,,Single Family Residential,5234 Caminito Exquisito,San Diego,CA,92130,1199000,5,3.0,Carmel Valley,2475,4693,1996,8,484,328,Active,,,http://www.redfin.com/CA/San-Diego/5234-Caminito-Exquisito-92130/home/4521088,SDMLS,180066903,N,Y,32.945325,-117.2064967
MLS Listing,,Condo/Co-op,12372 Carmel Country Rd #109,San Diego,CA,92130,639900,2,2.0,Carmel Valley,1184,80758,2001,9,540,294,Active,,,http://www.redfin.com/CA/San-Diego/12372-Carmel-Country-Rd-92130/unit-109/home/7533185,SDMLS,180066885,N,Y,32.9472677,-117.2277016
MLS Listing,,Condo/Co-op,4009 Carmel View Rd #163,San Diego,CA,92130,549000,2,2.0,Carmel Valley,1071,,1989,11,513,408,Active,,,http://www.redfin.com/CA/San-Diego/4009-Carmel-View-Rd-92130/unit-163/home/4507428,SDMLS,180066713,N,Y,32.9442114,-117.2325959
MLS Listing,,Condo/Co-op,6126 Mystra Pt,San Diego,CA,92130,825000,4,2.5,Carmel Valley,1563,,2005,11,528,265,Active,,,http://www.redfin.com/CA/San-Diego/6126-Mystra-Pt-92130/home/7543678,SDMLS,180066671,N,Y,32.9614175,-117.1852698
MLS Listing,,Single Family Residential,13425 Caminito Mendiola,San Diego,CA,92130,3997000,4,5.5,Carmel Valley,6090,69260,2009,11,656,185,Active,,,http://www.redfin.com/CA/San-Diego/13425-Caminito-Mendiola-92130/home/12135692,SDMLS,180066668,N,Y,32.9620559,-117.1774371
MLS Listing,,Single Family Residential,7691 Marker Rd,San Diego,CA,92130,974999,4,3.5,Torrey Highlands,2712,,2003,12,360,60,Active,,,http://www.redfin.com/CA/San-Diego/7691-Marker-Rd-92130/home/6483644,SDMLS,180066499,N,Y,32.9689644,-117.1601108
MLS Listing,,Single Family Residential,6720 Torenia Trl,San Diego,CA,92130,1300000,5,3.0,Carmel Valley,2432,,2016,13,535,227,Active,,,http://www.redfin.com/CA/San-Diego/6720-Torenia-Trl-92130/home/95962472,SDMLS,180066390,N,Y,32.9684073,-117.173187
MLS Listing,,Single Family Residential,6451 Lilac Mist Bnd,San Diego,CA,92130,2350000,5,6.0,SD - San Diego,5205,11992,2016,13,451,300,Active,,,http://www.redfin.com/CA/San-Diego/6451-Lilac-Mist-Bnd-92130/home/125757260,CRMLS,ND18285172,N,Y,32.9723787,-117.1799194
MLS Listing,,Single Family Residential,6919 The Preserve Way,San Diego,CA,92130,4999000,6,7.5,Carmel Valley,9436,,2007,13,530,386,Active,,,http://www.redfin.com/CA/San-Diego/6919-The-Preserve-Way-92130/home/12152693,SDMLS,180066240,N,Y,32.9417904,-117.1728424
MLS Listing,,Single Family Residential,5074 Sterling Grove Ln,San Diego,CA,92130,1399000,6,4.0,Carmel Valley,3476,12545,1999,14,402,50,Active,,,http://www.redfin.com/CA/San-Diego/5074-Sterling-Grove-Ln-92130/home/4518424,SDMLS,180066137,N,Y,32.9342324,-117.2064738
MLS Listing,,Condo/Co-op,5110 BAREBACK Sq,Rancho Santa Fe,CA,92130,2100000,4,3.5,Rancho Santa Fe,3513,,1985,15,598,530,Active,,,http://www.redfin.com/CA/San-Diego/5110-Bareback-Sq-92130/home/4449899,SDMLS,180065872,N,Y,32.9751059,-117.208753
MLS Listing,,Condo/Co-op,3763 Carmel View Rd #6,San Diego,CA,92130,639000,2,2.0,Carmel Valley,1163,46515,2001,18,549,210,Active,,,http://www.redfin.com/CA/San-Diego/3763-Carmel-View-Rd-92130/unit-6/home/6314282,SDMLS,180065547,N,Y,32.9404531,-117.2311433
MLS Listing,,Single Family Residential,3930 Torrey Hill Ln,San Diego,CA,92130,2399000,6,5.0,East del Mar,4715,11325,1993,18,509,,Active,,,http://www.redfin.com/CA/San-Diego/3930-Torrey-Hill-Ln-92130/home/4479093,SDMLS,180065537,N,Y,32.9641162,-117.2312113
MLS Listing,,Single Family Residential,13793 Rosecroft Way,San Diego,CA,92130,1300000,5,3.5,East del Mar,3347,,2002,18,388,185,Active,,,http://www.redfin.com/CA/San-Diego/13793-Rosecroft-County-Way-92130/home/6542531,SDMLS,180065527,N,Y,32.9699894,-117.2383541
MLS Listing,,Condo/Co-op,12523 El Camino Real D,San Diego,CA,92130,834900,3,3.0,Carmel Valley,1584,,1996,18,527,325,Active,,,http://www.redfin.com/CA/San-Diego/12523-El-Camino-Real-92130/unit-D/home/4515901,SDMLS,180065462,N,Y,32.9459674,-117.2369761
MLS Listing,,Condo/Co-op,12530 Carmel Creek Rd #131,San Diego,CA,92130,399000,1,1.0,Carmel Valley,638,615509,1990,18,625,235,Active,,,http://www.redfin.com/CA/San-Diego/12530-Carmel-Creek-Rd-92130/unit-131/home/7495628,SDMLS,180065447,N,Y,32.9441382,-117.2310592
